common_name,scientific_name,taxonomic_group,cites_appendix,iucn_status,legal_status_kenya,managing_institutions
Nectophrynoides spp. (Kenyan forest toads),Nectophrynoides spp.,Amphibia,Appendix I,NA,Fully protected,KWS
Grey parrot,Psittacus erithacus,Aves,Appendix I,Endangered,Fully protected; commercial trade banned,KWS
Rüppell's vulture,Gyps rueppelli,Aves,Appendix I,Critically Endangered,Fully protected,KWS
Encephalartos cycad species,Encephalartos hildebrandtii,Cycadopsida,Appendix I,Vulnerable,Collection and trade prohibited,KWS; KEPHIS
African elephant,Loxodonta africana,Mammalia,Appendix I,Vulnerable,Fully protected; commercial trade and ivory trade banned,KWS
African lion (West and Central Africa populations),Panthera leo leo,Mammalia,Appendix I,NA,Fully protected; trophy hunting banned,KWS
Black rhinoceros,Diceros bicornis michaeli,Mammalia,Appendix I,Critically Endangered,Fully protected; all horn trade banned,KWS
Cheetah,Acinonyx jubatus,Mammalia,Appendix I,Vulnerable,Protected; no commercial trade,KWS
Dugong,Dugong dugon,Mammalia,Appendix I,Vulnerable,Protected; critical habitat at Kiunga MNR,KWS; KeFS
Eastern chimpanzee,Pan troglodytes schweinfurthii,Mammalia,Appendix I,Endangered,Protected; marginal population in western Kenya,KWS
Giant pangolin,Smutsia gigantea,Mammalia,Appendix I,Endangered,Protected,KWS
Grevy's zebra,Equus grevyi,Mammalia,Appendix I,Endangered,Protected; WCMA Sixth Schedule,KWS
Ground pangolin,Smutsia temminckii,Mammalia,Appendix I,Vulnerable,Protected; Recovery and Action Plan 2024,KWS
Hirola (Hunter's hartebeest),Beatragus hunteri,Mammalia,Appendix I,Critically Endangered,Fully protected; WCMA Sixth Schedule; recovery plan,KWS
Humpback whale,Megaptera novaeangliae,Mammalia,Appendix I,Least Concern,Protected; directed fishing prohibited in all Kenyan waters,KeFS; KMA
Indo-Pacific humpback dolphin,Sousa plumbea,Mammalia,Appendix I,Endangered,Protected,KeFS; KMA
Leopard,Panthera pardus,Mammalia,Appendix I,Vulnerable,Protected,KWS
Sperm whale,Physeter macrocephalus,Mammalia,Appendix I,Vulnerable,Protected,KeFS; KMA
Tana River mangabey,Cercocebus galeritus,Mammalia,Appendix I,Endangered,Protected; critically restricted range,KWS
Tana River red colobus,Piliocolobus rufomitratus,Mammalia,Appendix I,Critically Endangered,Fully protected,KWS
Tree (white-bellied) pangolin,Phataginus tricuspis,Mammalia,Appendix I,Endangered,Protected,KWS
"White rhinoceros (southern, Kenya population)",Ceratotherium simum simum,Mammalia,Appendix I,NA,Fully protected,KWS
Saintpaulia (African violet) — wild species,Saintpaulia ionantha sensu lato,Monocots,Appendix I,NA,Collection from wild prohibited; trade in wild-collected specimens banned,KWS; KEPHIS
Taita Hills violet,Saintpaulia teitensis,Monocots,Appendix I,Critically Endangered,Fully protected,KWS; KEPHIS
Green sea turtle,Chelonia mydas,Reptilia,Appendix I,Endangered,Protected; all Kenyan maritime zones declared turtle sanctuary,KWS; KeFS
Hawksbill sea turtle,Eretmochelys imbricata,Reptilia,Appendix I,Critically Endangered,Fully protected,KWS; KeFS
Leatherback sea turtle,Dermochelys coriacea,Reptilia,Appendix I,Vulnerable,Protected,KWS; KeFS
Loggerhead sea turtle,Caretta caretta,Reptilia,Appendix I,Vulnerable,Protected,KWS; KeFS
Olive ridley sea turtle,Lepidochelys olivacea,Reptilia,Appendix I,Vulnerable,Protected,KWS; KeFS
Common hippocampus (seahorse),Hippocampus kuda,Actinopterygii,Appendix II,Vulnerable,Trade regulated; collection requires permit,KeFS
Napoleon wrasse (humphead wrasse),Cheilinus undulatus,Actinopterygii,Appendix II,Endangered,Trade regulated,KeFS
Black crowned crane,Balearica pavonina,Aves,Appendix II,Vulnerable,Protected,KWS
Egyptian vulture,Neophron percnopterus,Aves,Appendix II,Endangered,Protected,KWS
Grey crowned crane,Balearica regulorum,Aves,Appendix II,Endangered,Protected; WCMA Sixth Schedule,KWS
Hooded vulture,Necrosyrtes monachus,Aves,Appendix II,Critically Endangered,Protected,KWS
Lappet-faced vulture,Torgos tracheliotos,Aves,Appendix II,Vulnerable,Protected,KWS
Saker falcon,Falco cherrug,Aves,Appendix II,Endangered,Protected,KWS
Secretarybird,Sagittarius serpentarius,Aves,Appendix II,Endangered,Protected,KWS
White-backed vulture,Gyps africanus,Aves,Appendix II,Critically Endangered,Protected; WCMA Sixth Schedule,KWS
White-headed vulture,Trigonoceps occipitalis,Aves,Appendix II,Critically Endangered,Protected,KWS
Giant clam,Tridacna squamosa,Bivalvia,Appendix II,Vulnerable,Trade regulated; collection requires permit,KeFS
Manta ray (oceanic),Mobula birostris,Chondrichthyes,Appendix II,Endangered,Fully protected,KeFS
Whale shark,Rhincodon typus,Chondrichthyes,Appendix II,Endangered,Highly regulated; dive-tourism only,KeFS; KWS
Queen conch,Strombus gigas,Gastropoda,Appendix II,Not assessed,Trade regulated,KeFS
Prunus africana (African cherry),Prunus africana,Magnoliopsida,Appendix II,Vulnerable,Trade regulated; bark extraction requires permit,KFS; KWS
African wild dog,Lycaon pictus,Mammalia,Appendix II,Endangered,Protected; WCMA Sixth Schedule,KWS
Black-and-white colobus,Colobus guereza,Mammalia,Appendix II,Least Concern,Protected,KWS
Hippopotamus,Hippopotamus amphibius,Mammalia,Appendix II,Vulnerable,Protected,KWS
Indo-Pacific bottlenose dolphin,Tursiops aduncus,Mammalia,Appendix II,Near Threatened,Protected; directed fishing prohibited,KeFS; KMA
Lion,Panthera leo,Mammalia,Appendix II,Vulnerable,Protected; listed in WCMA Sixth Schedule,KWS
Masai giraffe,Giraffa tippelskirchi,Mammalia,Appendix II,Vulnerable,Protected,KWS
Reticulated giraffe,Giraffa reticulata,Mammalia,Appendix II,Endangered,Protected,KWS
Aloe vera (Kenyan aloes),Aloe spp. (multiple Kenyan species),Monocots,Appendix II,NA,Trade regulated; some species fully protected,KWS; KEPHIS
Ornithogalum species (Star-of-Bethlehem),Ornithogalum spp.,Monocots,Appendix II,NA,Trade regulated,KEPHIS; KWS
African rock python,Python sebae,Reptilia,Appendix II,Least Concern,Trade regulated,KWS
Ball python,Python regius,Reptilia,Appendix II,Least Concern,Trade regulated,KWS
Fischer's chameleon,Kinyongia fischeri,Reptilia,Appendix II,Least Concern,Trade regulated,KWS
Jackson's chameleon,Trioceros jacksonii,Reptilia,Appendix II,Least Concern,Trade regulated; popular in pet trade,KWS
Kenya sand boa,Eryx colubrinus,Reptilia,Appendix II,Least Concern,Trade regulated,KWS
